date,event_name,venue,gender,match_type,winner,won_by_runs,won_by_wickets,player_of_match,toss_winner,toss_decision,batting_first_team,batting_first_runs,batting_first_wickets,batting_first_overs,batting_second_team,batting_second_runs,batting_second_wickets,batting_second_overs,target_runs,target_overs,file_name
3/17/2007,ICC World Cup,Queen's Park Oval,male,ODI,Bangladesh,,5,Mashrafe Mortaza,India,bat,India,191,10,49.3,Bangladesh,192,5,48.3,192,50,247464.json
3/17/2007,ICC World Cup,Sabina Park,male,ODI,Ireland,,3,NJ O'Brien,Ireland,field,Pakistan,132,10,45.4,Ireland,133,7,41.4,128,47,247465.json
3/18/2007,ICC World Cup,Warner Park,male,ODI,Australia,229,,BJ Hodge,Australia,bat,Australia,358,5,50,Netherlands,129,10,26.5,359,50,247466.json
3/18/2007,ICC World Cup,Beausejour Stadium,male,ODI,England,51,,PD Collingwood,Canada,field,England,279,6,50,Canada,228,7,50,280,50,247467.json
3/19/2007,ICC World Cup,Queen's Park Oval,male,ODI,India,257,,V Sehwag,Bermuda,field,India,413,5,50,Bermuda,156,10,43.1,414,50,247468.json
3/19/2007,ICC World Cup,Sabina Park,male,ODI,West Indies,,6,SC Williams,West Indies,field,Zimbabwe,202,5,50,West Indies,204,4,47.5,203,50,247469.json
3/20/2007,ICC World Cup,Warner Park,male,ODI,South Africa,,7,GC Smith,South Africa,field,Scotland,186,8,50,South Africa,188,3,23.2,187,50,247470.json
3/20/2007,ICC World Cup,Beausejour Stadium,male,ODI,New Zealand,148,,LRPL Taylor,Kenya,field,New Zealand,331,7,50,Kenya,183,10,49.2,332,50,247471.json
3/21/2007,ICC World Cup,Queen's Park Oval,male,ODI,Sri Lanka,198,,ST Jayasuriya,Bangladesh,field,Sri Lanka,318,4,50,Bangladesh,112,10,37,311,46,247472.json
3/21/2007,ICC World Cup,Sabina Park,male,ODI,Pakistan,93,,Imran Nazir,Zimbabwe,field,Pakistan,349,10,49.5,Zimbabwe,99,10,19.1,193,20,247473.json
3/22/2007,ICC World Cup,Warner Park,male,ODI,Netherlands,,8,WF Stelling,Netherlands,field,Scotland,136,10,34.1,Netherlands,140,2,23.5,137,50,247474.json
3/22/2007,ICC World Cup,Beausejour Stadium,male,ODI,New Zealand,114,,L Vincent,Canada,field,New Zealand,363,5,50.1,Canada,249,10,49.2,364,50,247475.json
